90,NULL,26,ACCOUNT VALIDATION,11019,2024-04-02 09:22:52.217,NULL,NULL,1
91,NULL,26,CHANGE PASSWORD,11019,2024-04-02 09:23:08.607,NULL,NULL,1
92,NULL,37,AUDITOR MAINTENANCE PORTAL,10684,2024-04-02 09:29:49.333,NULL,NULL,1
93,NULL,37,CHECK DISPLAY PORTAL,10684,2024-04-02 09:29:53.977,NULL,NULL,1
94,NULL,37,VALIDATION AND LOG IN,10684,2024-04-02 09:29:58.830,NULL,NULL,1
95,NULL,37,ALL MODULES,10684,2024-04-02 09:30:04.087,NULL,NULL,1
96,NULL,37,CHECK DISPLAY APP,10684,2024-04-02 09:30:08.813,NULL,NULL,1
97,NULL,37,VIEW LOGS APP,10684,2024-04-02 09:30:14.580,NULL,NULL,1
98,NULL,25,EMPLOYEE INFORMATION,11019,2024-04-02 09:32:24.330,NULL,NULL,1
99,NULL,25,TRANSACTION-TK APPROVALS,11019,2024-04-02 09:32:48.513,NULL,NULL,1
100,NULL,25,REPORTS-DETAILED ATTENDANCE SUMMARY,11019,2024-04-02 09:33:10.413,NULL,NULL,1
102,NULL,37,AUDITOR APP SETTINGS,10684,2024-04-02 09:34:54.657,NULL,NULL,1
112,NULL,38,ORDERING ONLINE,10684,2024-04-02 09:40:30.307,NULL,NULL,1
113,NULL,38,MODEM,10684,2024-04-02 09:40:36.800,NULL,NULL,1
137,NULL,29,TIME KEEPING COMPLAINT,10684,2024-04-02 09:58:06.810,NULL,NULL,1
138,NULL,39,ADMINISTRATOR-FILE MAINTENANCE,11019,2024-04-02 10:21:42.810,NULL,NULL,1
139,NULL,39,ADMINISTRATOR-USER MANAGEMENT,11019,2024-04-02 10:21:53.493,NULL,NULL,1
140,NULL,39,ADMINISTRATOR-USER ROLES,11019,2024-04-02 10:22:01.780,NULL,NULL,1
141,NULL,39,ADMINISTRATOR-LEAVE TYPE,11019,2024-04-02 10:22:13.513,NULL,NULL,1
142,NULL,39,ADMINISTRATOR-LEAVE MANAGEMENT,11019,2024-04-02 10:22:18.930,NULL,NULL,1
